year,name,price,brand
2021,Jordan MA2,170,nike
2021,Air Jordan XXXV,235,nike
2021,Nike ZoomX Vaporfly NEXT%,330,nike
2021,Nike Air Zoom Pegasus 37 Premium,155,nike
2021,NikeCourt React Vapor NXT,210,nike
2021,Nike Air Zoom Terra Kiger 7,180,nike
2021,Nike Mercurial Dream Speed Superfly 8 Elite FG,385,nike
2021,Nike Mercurial Dream Speed Superfly 8 Academy MG,125,nike
2021,PG 5,145,nike
2021,Nike Air Force 1,170,nike
